timestamp,name,,legal_name,other_names,,previous_names,,oc_id,,jurisdiction,jurisdication_source,legal_type,legal_type_source,,,foundation_date,,headquarters,,directors,shareholders,,,,,,,,,,,,website,attributes_source,document_name,document_summary,document_raw,,document_filename,document_url,document2_name,documentation2_summary,document2_raw,document2_url
,Air Liquide Nigeria Plc,,,Air Liquide Nigeria Plc,http://bgiresourcesltd.com/Projects_types5.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Aiteo Suisse AG,,,Aiteo Suisse AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Aker Solutions,,,Aker Solutions,http://www.akersolutions.com/Documents/Drilling%20Technologies/Process%20Systems/Reference%20lists/Crude%20oil%20complete.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,ng_180681 ALLIED ENERGY PLC.pdf,,,,,
,Allied Energy Plc,,,Allied Energy Plc,https://drive.google.com/file/d/0B-KlXDOYUc-OcVNjVXdZLUJuN0E/edit?usp=sharing,,,ng/180681,https://drive.google.com/file/d/0B-KlXDOYUc-OcVNjVXdZLUJuN0E/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OcVNjVXdZLUJuN0E/edit?usp=sharing,,,,,,,,,"Lawal Kase Lukmon, Director
Lawal Kamoru, Director
Lawal Mickey, Director
Adegbemile Iyabo, Director
Busari Murhi, Director
Moser Gregg, Director
Umar Nasiru, Director
Kio Clement Bestman, Director
Azuike Kelechi Godwin, Director
Ahmadu Abubakar, Director
Ayorinde Bayo, Director
Serena-Dokubo Spiff David, Director
Uwechue-Mbanefo Sally Yuette, Director
Mortensen Martn, Director","Camac Energy Holding Limited (3,999,999,998)
Limota Asande (2)",https://drive.google.com/file/d/0B-KlXDOYUc-OcVNjVXdZLUJuN0E/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 20 November 2013 ALLIED ENERGY PLC NAME ALLIED ENERGY PLC. 1. NAME SENT FOR SEARCH IF DIFFERENT SAME. 2. REGISTRATION NO. 180681 3. DATE OF REGISTRATION 20TH NOVEMBER, 1991. 4. SECRETARY ETIKERENTSE & UNIEGHARA 4A, MESHIDA STREET, OKUPE STREET, MARYLAND, LAGOS STATE. 5. SHARE CAPITAL 3, 000, 000,000. 6. SHARE INCREASE YES. THE SHARE CAPITAL AT INCORPORATION WAS 1, 000, 000 WHICH WAS INCREASED TO THE PRESENT 3, 000, 000, 000 ON 25TH JULY, 2008 7. REGISTERED OFFICE CAMAC HOUSE, PLOT 1649, OLOSA STREET, VICTORIA ISLAND, LAGOS STATE. 8. DIRECTORS/ADDRESS NAME ADDRESS LAWAL KASE LUKMON LAWAL KAMORU LAWAL MICKEY ADEGBEMILE IYABO BUSARI MURHI MOSER GREGG UMAR NASIRU KIO CLEMENT BESTMAN AZUIKE KELECHI GODWIN AHMADU ABUBAKAR AYORINDE BAYO PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE 14, ROTIMI WILLIAMS AVENUE, BODIJA, IBADAN, OYO STATE 45, OMOLE ROAD, OGBA, IKEJA, LAGOS STATE PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE 28, CBN QUARTERS, NEW KARMO, ABUJA 32, OMONUKWE STREET, RUMULOA ROAD, PORT HARCOURT, RIVERS STATE. PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 20 November 2013 SERENA-DOKUBO SPIFF DAVID UWECHUE-MBANEFO SALLY YUETTE MORTENSEN MARTN PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE BETHANY VILLA, SPIFF TOWN (ADA AMA) TWON BRASS, BAYELSA STATE PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE PLOT 1649. OLOSA STREET, VICTORIA ISLAND, LAGOS STATE 11. SHAREHOLDERS NAME ADDRESS SHARE STRUCTURE CAMAC ENERGY HOLDINGS LIMITED LIMOTA ASANDE LAWAL GENESI BUILDING, GEORGETOWN, GRAND CAYISLANDS, CAYISLANDS 14, ROTIMI WILLIAMS AVENUE, BODIJA, IBADAN, OYO STATE 3, 176, 712, 822 2 14. MAIN OBJECT TO CARRY ON THE BUSINESS OF EXTRACTING, PUMPING, DRAWING, TRANSPORTING AND PURIFYING AND DEALING IN PETROLEUM MINERAL OILS. 15. BORROWING POWERS YES BY CLAUSE 79 OF THE ARTICLES OF ASSOCIATION 16. ANNUAL RETURNS 1992-2010 17. MORTGAGES ENCUMBRANCES NIL. THE COMPANY HAS A DISCHARGED MORTGAGE CREATED BY A SECURITY DEED TO THE SUM OF $20, 000, 000 IN FAVOUR OF UNION BANK PLC OF 1418 COPTHALL AVENUE, LONDON DATED 26TH JUNE, 2008 WHICH WAS DISCHARGED BY A DEED OF PARTIAL RELEASE DATED 21ST MAY, 2010 BETWEEN CAMAC ENERGY HOLDING LIMITED AND UNION BANK PLC. 18. PLACE OF SEARCH THE CORPORATE AFFAIRS COMISSION HEADQUARTERS ABUJA. 19. DATE OF SEARCH 20TH NOVEMBER, 2013. 20. OBSERVATION THE COMPANY APPEARS TO HAVE BEEN DULY REGISTERED.",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/180681 ALLIED ENERGY PLC.pdf,ng_180681 ALLIED ENERGY PLC.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OcVNjVXdZLUJuN0E/edit?usp=sharing,,,,
,Amban Nigeria Limited,,,Amban Nigeria Limited,http://ambanltd.com/projects.html,,,ng/180052,https://drive.google.com/file/d/0B-KlXDOYUc-OMkI4RllJYkhKVU0/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OMkI4RllJYkhKVU0/edit?usp=sharing,,,,,,,,,"Aniemene Fabian Ndubuisi, Director 
Aniemene Pascal Okwuchukwu, Director
Aniemene Ifoma Queendaline, Director 
Iringe-koko Hector Joshua, Director      
Nweke Emmanuel, Director
Osoms Maimiller, Director

","Aniemene Fabian Ndubuisi (3,000,000) 
Aniemene Pascal Okwuchukwu (1,000,000)
Aniemene Ifoma Queendaline (1,000,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OMkI4RllJYkhKVU0/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 25 June 2014 SEARCH REPORT DATE OF SEARCH 25th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja. NAME OF COMPANY SENT: AMBAN NIG. LTD DATE OF INCORPORATION 19th Nov., 1991 RC. NO.: 180052 REG. OFFICE ADDRESS: 21, Ogbunabali Road, Port Harcourt, Rivers State INITIAL SHARE CAPITAL 50, 000 divided into 50,000 ordinary shares of N1.00 each INCREASE IN SHARE CAPITAL: 5,000,000 SHARES ALLOTTED 5,000,000 CLASSES OF SHARES ORDINARY MAIN OBJECT: General contractors and merchants. SHAREHOLDERS: NAME SHARES 1. ANIEMENE FABIAN NDUBUISI Address is as above 3,000,000 2. ANIEMENE PASCAL OKWUCHUKWU Same as above 1,000,000 3. ANIEMENE IFEOMA QUEENDALINE Same as above 1,000,000 FIRST DIRECTORS: 1. ANIEMENE FABIAN NDUBUISI 2. ANIEMENE PASCAL OKWUCHUKWU CURRENT DIRECTORS (13/2/2012): 1. ANIEMENE FABIAN NDUBUISI 2. ANIEMENE PASCAL OKWUCHUKWU 3. ANIEMENE IFEOMA QUEENDALINE 4. IRINGE-KOKO HECTOR JOSHUA 5. NWEKE EMMANUEL 6. OSOMS MAIMILLER SECRETARY: Odo Hillary (Barr.) of 16, Awka Street, Aba Road, D/Line, Port Harcourt. BORROWING POWER: Clauses 32 and 31, Memorandum and Article of Association respectively ANNUAL RETURNS 2011 CHARGES: NIL REMARK/COMMENT: Duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/180052 AMBAN NIG. LTD.pdf,ng_180052 AMBAN NIG. LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OMkI4RllJYkhKVU0/edit?usp=sharing,,,,
,AMEC Contractors West Africa Limited,,,AMEC Contractors West Africa Limited,http://www.belloil.com/clients/2006-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Amec Plc,,,Amec Plc,http://www.jagal.com/latest-news/exxonmobil-hands-out-nigerian-epcm-deal/ AND m/page.aspx?pointerid=9eac8137409b49afa6afd6087a255170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Amni International Petroleum Development Company Limited,,,Amni International Petroleum Development Company Limited,https://drive.google.com/file/d/0B-KlXDOYUc-OQ3lXdkFWaERXVFU/edit?usp=sharing,,,ng/224901,https://drive.google.com/file/d/0B-KlXDOYUc-OQ3lXdkFWaERXVFU/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OQ3lXdkFWaERXVFU/edit?usp=sharing,,,,,1993,http://www.amnipetroleum.com/briefhistory.htm,"Plot 1377, Tiamiyu Savage Street, Victoria Island, Lagos, Nigeria.",http://www.amnipetroleum.com/corporateinfo.htm,"Chief Tunde Afolabi, Director
Mr. T. Iboroma Akpana, Director","Kapetrol Nigeria Ltd (94,904,300)
Chief Tunde Afolabi (700,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OQ3lXdkFWaERXVFU/edit?usp=sharing,,,,,,,,,,,http://www.amnipetroleum.com,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 9 June 2014 SEARCH REPORT DATE OF SEARCH 9th June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja, Nigeria NAME OF COMPANY SENT: AMNI INT’L PETROLEUM DEVELOPMENT COMPANY LTD CHANGE OF NAME (FORMER): NIL DATE OF INCORPORATION 23rd June, 1993 RC. NO.: 224901 REG. OFFICE ADDRESS: 1377, Tiyamiyu, Savage Street, Victoria Island, Lagos, Nigeria CHANGE OF ADDRESS (Former): Suite 802, Western House, 8/10, Broad Street, Lagos (by resolution dated 2nd Jan., 2003). INITIAL SHARE CAPITAL N10, 000, 000 divided into 10,000,000 ordinary shares of N1.00 each INCREASE IN SHARE CAPITAL N110, 000,000 divided into 110,000,000 ordinary shares of N1.00 each (By resolution dated 9th Nov. 2006) CLASSES OF SHARES ORDINARY SHARES ALLOTTED 95,604,300 (based on the return of allotment filed on 24th Jan., 2014) SHAREHOLDERS: NAME ADDRESS SHARES 1. KAPETROL NIGERIA LTD 12, igbodo street, Old GRA, Port Harcourt, Rivers State 94,904,300 2. CHIEF TUNDE AFOLABI 4/6, Tunde Afolabi Street, Ajah, Lagos, Nigeria 700,000 FIRST DIRECTORS: 1. TUNDE AFOLABI 2. EMMANUEL C. EDOZIEN 34, Olagbegi Avenue, Ibadan, Oyo State, Nigeria 3. SANI BELLO 6A, Sultan Road,Kaduna, Kaduna State, Nigeria CHANGE IN DIRECTORS: By the latest statement of particulars of directors/resolution dated 20th Dec., 2013 and filed 24th Jan., 2014 the following changes were made: 1. TUNDE AFOLABI Re-appointed 2. MR. T. IBOROMA AKPANA Appointed 3. COLONEL SANI BELLO Removed 4. EMMANUEL C. EDOZIEN Removed 5. ERIK JORGENSEN Removed SECRETARY S &A NOMINEES LTD, of Plot 12, Igbodo Street, Old GRA, Lagos. (Appointed by company resolution dated 20th Dec., 2013 and filed 24th Jan., 2014) Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 9 June 2014 MAIN OBJECT: Business of Exploration and production licences, rights and other titles of exploration of oil development, transportation and marketing of hydrocarbons in forms of oil, gas, tar and maritime. Dealers in mineral oil and Petroleum. BORROWING POWER: Clauses 41, Article of Association ANNUAL RETURNS Paid up to 2012 CHARGE: 1. Debenture deed dated 18th Dec., 2013 securing the sum of One Million US Dollars registered in favour of Guarantee Trust Bank. 2. Composite Security Deed dated 2nd October, 2009 and registered 6th Nov., 2009 covering N50,000,000 in favour of Guarantee Trust Bank REMARK/COMMENT Duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/224901 AMNI INTL PETROLEUM DEVELOPMENT COMPANY LTD.pdf,ng_224901 AMNI INTL PETROLEUM DEVELOPMENT COMPANY LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OQ3lXdkFWaERXVFU/edit?usp=sharing,,,,
,Ana Industries Limited,,,Ana Industries Limited,http://petroscanlimited.com/clients.html,,,ng/67610,https://drive.google.com/file/d/0B-KlXDOYUc-ObXQyY3RpdzhrRFE/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-ObXQyY3RpdzhrRFE/edit?usp=sharing,,,,,,,,,"Alexis Ngozichukwuka Ajuebon, Director
Chukwuyem Nue Ajuebon, Director                                  
Ajuebon Chukwuka, Director                                
Ajuebon Ubrnica Agbedid, Director
Ajuebon Chukwuemeka, Director","Alexis Ngozichukwuka Ajuebon (1,000,000)
Chukwuyem Nue Ajuebon (400,000)                                        
Ajuebon Chukwuka (200,000)                                        
Ajuebon Ubrnica Agbedid (200,000)                                        
Ajuebon Chukwuemeka (200,000)",https://drive.google.com/file/d/0B-KlXDOYUc-ObXQyY3RpdzhrRFE/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 22 June 2014 SEARCH REPORT DATE OF SEARCH 22nd June, 2014 PLACE OF SEARCH Corporate Affairs Commission, Maitama, Abuja NAME OF COMPANY SENT ANA INDUSTRIES LIMITED DATE OF INCORPORATION 14th December, 1994 RC. NO. 67610 REG. OFFICE ADDRESS Plot 375, High Street, Trans- Amadi, Port Harcourt, Rivers State. REG. OFFICE ADDRESS (FORMER) Mingi X Buildings, Trans- Amadi, Port Harcourt, Rivers State INITIAL SHARE CAPITAL 2,000,000 divided into 2,000,000 ordinary shares of N1.00 each SHARES ALLOTTED 2,000,000 CLASSES OF SHARES ORDINARY MAIN OBJECT Proprietors and managers of petrol stations, oil and gas services. SHAREHOLDERS NAME ADDRESS SHARE S SHARES 1. ALEXIS NGOZICHUKWU AJUEBON 33, Gbenoba Street, Boyi Delta State 6,000,00 0 1,000,000 2. CHUKWUYEM NUE AJUEBON As above 2,000,00 0 400,000 3. AJUEBON CHUKWUKA As above 200,000 4. AJUEBON UBRNICA AGBEDID As above 200,000 5. AJUEBON CHUKWUEMEKA As above 2,000,00 200,000 Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 22 June 2014 0 DIRECTORS: SAME AS SHAREHOLDERS SECRETARY: Grace Dave Associates of 39, Emekuku Street, D/Line, Port Harcourt, Rivers State (appointed 19/10/2011 BORROWING POWER: Clause 3 (ee) of Memorandum of Association ANNUAL RETURNS Paid up to 2012 CHARGES: Nil REMARK/COMMENT duly registered",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/67610 ANA INDUSTRIES LTD.pdf,ng_67610 ANA INDUSTRIES LTD.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-ObXQyY3RpdzhrRFE/edit?usp=sharing,,,,
,Ankorpointe Nigeria Limited,,,Ankorpointe Nigeria Limited,http://www.shell.com.ng/aboutshell/media-centre/news-and-media-releases/archive/2012/subsurface-contract.html,,,,,Nigeria,,,,,,,,"Plot PC 10, Engineering Close, 4th Floor, NITP (Sterling) Building, Off Idowu Taylor St. Opposite UBA/ Opposite Old Agip House (Feyide House).",http://www.ankorpointe.com/contacts.php,"Timi Aladetimi
Festus Ore Aruwaji
Dr. Olufemi O. Babalola",,,,,,,,,,,,,http://www.ankorpointe.com/,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Arc Resources Limited,,,Arc Resources Limited,http://www.petroleumafrica.com/oando-signs-agreements-on-agip-operated-block-opl-282/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Arcadia Energy,,,Arcadia Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Ashland Oil Nigeria Limited,,,Ashland Oil Nigeria Limited,http://www.jamservicesco.com/projects.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
,Atlas Petroleum International Limited,,,Atlas Petroleum International Limited,https://drive.google.com/file/d/0B-KlXDOYUc-OWmRMdjhpS2hkcnM/edit?usp=sharing,,,ng/163530,https://drive.google.com/file/d/0B-KlXDOYUc-OWmRMdjhpS2hkcnM/edit?usp=sharing,Nigeria,https://drive.google.com/file/d/0B-KlXDOYUc-OWmRMdjhpS2hkcnM/edit?usp=sharing,,,,,,,,,"Prince Arthur Eze, Director
Mr. Walter Chukwuzor Eze, Director
Ikpechukwu Eze (Jnr), Director
Mohammed Murtala, Director
Ibrahim Mohammed, Director","Prince Arthur Eze (77,520,000)
Mr. Ikechukwu Eze (43,520,000)
Mr. Walter Chukwuzor Eze (8,160,000)",https://drive.google.com/file/d/0B-KlXDOYUc-OWmRMdjhpS2hkcnM/edit?usp=sharing,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,Generic company filing,"Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 20 November 2013 ATLAS PETROLEUM INTERNATIONAL LIMITED NAME ATLAS PETROLEUM INTERNATIONAL LIMITED. 1. NAME SENT FOR SEARCH IF DIFFERENT SAME. 2. REGISTRATION NO. 163530 3. DATE OF REGISTRATION 16TH MAY, 1991. 4. SECRETARY UTMOST CHAMBERS SUITE 15, O.M.K PLAZA, PLOT 735, KADE STREET, OFF AMINU KANO CRESCENT, WUSE, ABUJA 5. SHARE CAPITAL 136, 000,000. 6. SHARE INCREASE YES. THE SHARE CAPITAL AT INCORPORATION WAS 1, 000, 000 WHICH WAS INCREASED TO 20, 000, 000 ON 28TH MAY, 1992 IT WAS FURTHER INCREASED TO 36, 000, 000 ON 10TH NOVEMBER, 1994; AND FROM 36, 000, 000 TO THE PRESENT 136, 000, 000 ON 31ST DECEMBER, 1995 7. REGISTERED OFFICE PLOT 8, WATER CORPORATION WAY, OFF LIGALI AYORINDE STREET, VICTORIA ISLAND, LAGOS STATE. 8. DIRECTORS/ADDRESS NAME ADDRESS PRINCE ARTHUR EZE MR. WALTER CHUKWUZOR EZE IKPECHUKWU EZE (JNR) MOHAMMED MURTALA IBRAHIM MOHAMMED 1, IBIYINKA OLORUNNIBE CLOSE, OFF AHMADU OJIKUTU STREET, VICTORIA ISLAND, LAGOS 1, IBIYINKA OLORUNNIBE CLOSE, OFF AHMADU OJIKUTU STREET, VICTORIA ISLAND, LAGOS 15, AKPABIO STREET, G.R.A, ENUGU 15, AKPABIO STREET, G.R.A, ENUGU 15, AKPABIO STREET, G.R.A, ENUGU 11. SHAREHOLDERS NAME ADDRESS SHARE STRUCTURE PRINCE ARTHUR EZE MR. IKECHUKWU EZE 1, IBIYINKA OLORUNNIBE CLOSE, OFF AHMADU OJIKUTU STREET, VICTORIA ISLAND, LAGOS 1, IBIYINKA OLORUNNIBE CLOSE, OFF 77,520,000 43,520,000 Company filing from the Nigerian Corporate Affairs Commission, Abuja Retrieved 20 November 2013 MR. WALTER CHUKWUZOR EZE AHMADU OJIKUTU STREET, VICTORIA ISLAND, LAGOS 1, IBIYINKA OLORUNNIBE CLOSE, OFF AHMADU OJIKUTU STREET, VICTORIA ISLAND, LAGOS 8,160,000 14. MAIN OBJECT TO CARRY ON THE BUSINESS OF OIL PROSPECTING, EXPLORATION, EXTRACTION, DRILLING TO REFINE AND EXPORT CRUDE OIL, PURE PETROLEUM, INDUSTRIAL CHEMICALS, BITUMEN AND AGRICULTURAL PRODUCTS GENERAL FINANCIAL AND BANKING, BUSINESS AND GENERAL FINANCIAL OPERATIONS OF ALL KINDS AND IN PARTICULAR TO ACCEPT VARIOUS TYPES OF DEPOSITS INCLUDING SAVINGS, TARGET AND DEMAND FROM INDIVIDUALS, GROUPS AND ASSOCIATIONS. 15. BORROWING POWERS YES BY CLAUSE 30 OF THE ARTICLES OF ASSOCIATION 16. ANNUAL RETURNS 1991-2011 17. MORTGAGES ENCUMBRANCES NIL. 18. PLACE OF SEARCH THE CORPORATE AFFAIRS COMISSION HEADQUARTERS ABUJA. 19. DATE OF SEARCH 20TH NOVEMBER, 2013. 20. OBSERVATION THE COMPANY APPEARS TO HAVE BEEN DULY REGISTERED.",My Drive / Corporate Mapping / Nigeria / Nigeria CAC Filings / ng/163530 ATLAS PETROLEUM INTERNATIONAL LIMITED.pdf,ng_163530 ATLAS PETROLEUM INTERNATIONAL LIMITED.pdf,https://drive.google.com/file/d/0B-KlXDOYUc-OWmRMdjhpS2hkcnM/edit?usp=sharing,,,,
,Belbop Nigeria Limited,,,Belbop Nigeria Limited,http://www.dewaylesinternational.com/index.php?option=com_content&view=article&id=5&Itemid=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigeria Company List - Source URL.csv,,,,,,,,,,
