Child Company Name,Immediate  %,Parent Company Name,Ultimate %,Jurisdiction of Child Company,Timestamp,Corporate Identifier of Child Company,Source URL,Confidence in this source,Source publication date,No. of OpenCorporates Matches for Parent Company,No of OpenCorporates matches for child company,"Username
",Comment,Directly Controlled?,When was the relationship created?,Date acquired,Date sold,Status
Nord-West Oelleitung GmbH,"33,69",Ruhr Oel GmbH (ROG),"59,33",Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Oberrheinische Mineralolwerke GmbH,33,Ruhr Oel GmbH (ROG),"16,5",Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Oelwerke Julius Schindler GmbH,100,BP Europa SE,100,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Paul Hailing Mineralole GmbH & Co KG,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
PCK Raffinene GmbH,37,Ruhr Oel GmbH (ROG),"18,5",Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Raimund Mineraloel GmbH,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Rhein-Main-Rohrleitungstransportgesellschaft mbH,20,BP Europa SE,35,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Ruhr Oel GmbH (ROG),50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Rundel Mineraloelvertrieb GmbH,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
SBB Dortmund GmbH,25,BP Europa SE,25,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Stadtmarketing Gesellschschaft Gelsenkirchen mbH,2,BP Gelsenkirchen GmbH,2,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
STDG Strassentransport Dispositions Gesellschaft mbH,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Stuttgart Fuelling Services GbR,"16,66",BP Europa SE,"33,32",Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Tanklager-Gesellschaft Tegel (TGT),"12,5",BP Europa SE,25,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Tecklenburg GmbH,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Tecklenburg GmbH & Co Energiebedarf KG,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TFSB Turbo Fuel Services Berlin GbR (Schonefeld),"12,5",BP Europa SE,25,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TFSS Turbo Fuel Services Sachsen GbR,20,BP Europa SE,20,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TGFH Tanklager-Gesellschaft Frankfurt-Hahn GbR,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TGH Tankthenst-Gesellschaft Hamburg GbR,"33,33",BP Europa SE,"33,33",Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TGHL Tanklager-Gesellschaft Hannover-Langenhagen GbR,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TGK Tanklagergesellschaft Koln-Bonn,20,BP Europa SE,20,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TGN Tankdienst-Gesellschaft Nurnberg GbR,"33,3",BP Europa SE,"33,3",Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TLS Tanklager Stuttgart GmbH,45,BP Europa SE,45,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Trafineo GmbH & Co KG,100,BP Europa SE,100,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Trafineo Verwaltungs-GmbH,100,BP Europa SE,100,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TransTank GmbH,50,BP Europa SE,50,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TSG Tankstellen Support GmbH,100,BP Europa SE,100,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Union-Tank Eckstein GmbH,34,BP Europa SE,34,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Union-Tank Eckstein GmbH & Co KG,34,BP Europa SE,34,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
"UTA Italia Srl, Verona/Italien",99,Union-Tank Eckstein GmbH,"33,66",Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
VTA Verfahrenstechnik und Automatisierung GmbH,100,BP Europa SE,100,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
WiN Emscher-Lippe Gesellschaft zur Strukturverbesserung mbH,1,BP Gelsenkirchen GmbH,1,Germany,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
MercedesService Card Beteiligungsgesellschaft mbH,49,Union-Tank Eckstein GmbH & Co KG,"16,66","Germany ,",5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Hamburg Tank Service (HTS) GbR,33,BP Europa SE,33,Germany .,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Oil Hellenic S A,100,BP Greece Limited,100,Greece,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP SOLAR HELLAS S A,100,BP Alternative Energy Holdings Limited,100,Greece,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
GISSCO S A,50,BP Oil Hellenic S A,50,Greece,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
RAPI SA,62,BP Oil Hellenic S A,62,Greece,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
SAFCO SA,33,BP Oil Hellenic S A,33,Greece,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Amoco International (Guernsey) Limited,100,BP Company North America Inc,100,Guernsey,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Pensions (Overseas) Limited,100,BP P L C,100,Guernsey,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Jupiter Insurance Limited,100,BP Corporate Holdings Limited,100,Guernsey,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Asia Limited,100,BP Global Investments Limited,100,Hong Kong,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Hong Kong Limited,100,BP Global Investments Limited,100,Hong Kong,5/5/2014 15:02:00,gb/FC011904,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,Converted / Closed
Castrol (China) Limited,100,Castrol Limited,100,Hong Kong,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
China LNG Shipping (International) Company Limited,40,BP Shipping Limited,40,Hong Kong,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Shine Top International Investment Limited,50,BP Amoco Chemical Holding Company,100,Hong Kong,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Business Service Centre KFT,100,BP Global Investments Limited,100,Hungary,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Castrol Hungaria Trading Co Ltd (Castrol Hungaria Kereskedelmi Kft),100,BP Europa SE,100,Hungary,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP India Limited,40,BP (Indian Agencies) Limited,51,India,5/5/2014 15:02:00,in/U51209MH1978PLC020456,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP India Services Private Limited,100,BP Global Investments Limited,100,India,5/5/2014 15:02:00,in/U74999MH2002PTC138480,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Castrol India Limited,"70,92",Castrol Limited,"71,03",India,5/5/2014 15:02:00,in/L23200MH1979PLC021359,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Foseco India Limited,20,Burmah Castrol PLC,20,India,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
India Gas Solutions Private Limited,50,BP International Limited,50,India,5/5/2014 15:02:00,in/U40200MH2011PTC224011,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
P T Amoco Mitsui PTA Indonesia,50,BP Amoco Chemical Indonesia Limited,50,Indonesia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
P T Jasatama Petroindo,100,BP Global Investments Limited,100,Indonesia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
PT Cakrawala Tata Sentosa,"99,6",PT Castrol Indonesia,"68,03",Indonesia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
PT Castrol Indonesia,"68,3",Castrol Limited,"68,3",Indonesia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Castrol (Ireland) Limited,100,Castrol Limited,100,Ireland,5/5/2014 15:02:00,ie/25922,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Fingal Aviation Services Limited,50,Air BP Limited,50,Ireland,5/5/2014 15:02:00,ie/151023,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Maritime Services (Isle of Man) Limited,100,BP International Limited,100,Isle of Man,5/5/2014 15:02:00,im/106045C,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Air BP Italia Spa,50,BP Italia SpA,50,Italy,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Italia SpA,100,BP Global Investments Limited,100,Italy,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Solar Italia S R L,99,BP Alternative Energy Holdings Limited,100,Italy,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BPS BRINDISI 1 s r I,100,BP Solar Italia S R L,100,Italy,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Societa Italiana per l'Oleodotto Transalpino S P A,11,Ruhr Oel GmbH (ROG),20,Italy,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
SQL BR1,100,BP Solar Italia S R L,100,Italy,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
SOL BR2,100,BP Solar Italia S R L,100,Italy,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Jamaica Aircraft Refuelling Services Limited,51,BP Holdings International B V,51,Jamaica,5/5/2014 15:02:00,jm/61494,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Castrol KK,"53,25",Castrol Limited,"64,84",Japan,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Japan K K,100,Castrol Limited,100,Japan,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Lubricants KK,100,BP Castrol KK,"64,84",Japan,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Castrol KK,100,BP Castrol KK,"64,84",Japan,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
TJKK,100,Castrol Limited,100,Japan,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
In Salah Gas Ltd,"25,5",BP Exploration (El Djazair) Limited,"25,5",Jersey,5/5/2014 15:02:00,je/67960,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
In Salah Gas Services Ltd,"25,5",BP Exploration (El Djazair) Limited,"25,5",Jersey,5/5/2014 15:02:00,je/67959,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Setra Lubricants Kazakhstan LLP,100,BP Global Investments Limited,100,Kazakhstan,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
"Asian Acetyls Co, Ltd",34,BP Chemicals (Korea) Limited,34,"Korea, Republic of",5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Korea Limited,100,Castrol Limited,100,"Korea, Republic of",5/5/2014 15:02:00,gb/00660875,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,Dissolved
"Samsung-BP Chemicals Co, Ltd",51,BP Chemicals (Korea) Limited,51,"Korea, Republic of",5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Lebanese Aviation Technical Services S AL,100,BP Asia Pacific Holdings Limited,100,Lebanon,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Lesotho (Pty) Limited,100,BP P L C,100,Lesotho,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Aral Luxembourg S A,100,BP Europa SE,100,Luxembourg,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Aral Services Luxembourg Sarl,100,Aral Luxembourg S A,100,Luxembourg,5/5/2014 15:02:00,lu/B68948,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
Aral Tankstellen Services Sari,100,Aral Luxembourg S A,100,Luxembourg,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Capellen Sarl,100,BP Luxembourg S A,100,Luxembourg,5/5/2014 15:02:00,lu/B95609,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Caplux S A,100,BP International Limited,100,Luxembourg,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Luxembourg S A,"99,99",BP Europa SE,100,Luxembourg,5/5/2014 15:02:00,lu/B45782,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
AsPac Lubricants (Malaysia) Sdn Bhd,"41,85",Castrol Limited,"72,1",Malaysia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP (Sabah) Sdn Bhd,100,BP Asia Pacific Pte Ltd,100,Malaysia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Business Service Centre Asia Sdn Bhd,100,BP Asia Pacific Holdings Limited,100,Malaysia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Castrol Lubricants (Malaysia) Sdn Bhd,100,AsPac Lubricants (Malaysia) Sdn Bhd,"63,03",Malaysia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Malaysia Holdings Sdn Bhd,70,BP Asia Pacific Pte Ltd,70,Malaysia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP PETRONAS Acetyls Sdn Bhd,70,BP Holdings International B V,70,Malaysia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
J & A Petrochemical Sdn Bhd,51,BP Global Investments Limited,100,Malaysia,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Asia Pacific (Malaysia) Sdn Bhd,100,BP Asia Pacific Holdings Limited,100,Malaysia -,5/5/2014 15:02:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
BP Malta Limited,100,BP P L C,100,Malta,5/5/2014 15:02:00,mt/C225,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,7/6/2013,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,
