company,immediate,parent,ultimate,jurisdiction,,oc_id,source_url,confidence,source_date,,,,,ownership_type,,start_date,end_date,ownership_status,,turnover,profit,assets,liabilities,document_name,documentation_summary,document_raw,document_url,document_filename,,,document2_name,document2_summary,document2_raw,document2_url,document2_filename,,
Agencia Operadora Guarapiche S A,100,BP Exploration Company Limited,100,,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,"AR, changed ""Agenaa"" to ""Agencia"", 10-7-14",,,,,,,,,,,,,,,,,,
"AGES International GmbH & Co KG, Langenfeld",100,"AGES Maut System GmbH & Co KG, Langenfeld",30.38,Germany,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"AGES Maut System GmbH & Co KG, Langenfeld",24.7,BP Europa SE,41.4,Germany,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Albania SHA,100,BP Holdings International B V,100,Albania,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Brasil Ltda,99.99,BP Global Investments Limited,100,Brazil,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Canada Limited,100,BP America Inc,100,Canada,05.05.14 00:00,ca_qc/1161453171,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Canada LLC,100,BP Products North America Inc,100,United States,05.05.14 00:00,ca_qc/1169350213,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Copec S A,50,BP Global Investments Limited,50,Chile,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Georgia LLC,50,BP Holdings International B V,50,Georgia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Italia Spa,50,BP Italia SpA,50,Italy,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Limited,100,BP International Limited,100,United Kingdom,05.05.14 00:00,gb/01150609,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 190 806 296, 23 087 054, 177 724 382, 128 878 252,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/01150609 Air BP Limited.csv,01150609 Air BP Limited.csv,https://data.openoil.net/documents/financials/01150609 Air BP Limited.csv,200,,,,/UK Companies House filings/gb/01150609 Air BP Limited/AA 11/09/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_01150609 Air BP Limited/AA 11_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_01150609 Air BP Limited/AA 11_09_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
Air BP Sales Romania S R L,95,BP Holdings International B V,100,Romania,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air BP Sweden AB,100,BP Global Investments Limited,100,Sweden,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Air Refuel Pty Ltd,100,BP Australia Pty Limited,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Aircraft Fuel Supply B V,9.09,BP Europa SE,9.09,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Aircraft Refuelling Company GmbH,33.33,BP Europa SE,33.33,Austria,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Airport Fuel Services Pty Limited,20,BP Australia Pty Limited,20,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"Alaska Tanker Company, LLC",25,"BP Oil Shipping Company, USA",25,United States,05.05.14 00:00,us_or/68750182,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"Alexander Duckham & Co ,Limited",100,Lubricants UK Limited,100,United Kingdom,05.05.14 00:00,gb/00162738,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,   0,   0,   1,   0,,,,"/Corporate Mapping/BP/BP Project/Finance Sheets/00162738 Alexander Duckham & Co ,Limited.csv","00162738 Alexander Duckham & Co ,Limited.csv","https://data.openoil.net/documents/financials/00162738 Alexander Duckham & Co ,Limited.csv",200,,,,"/UK Companies House filings/gb/00162738 Alexander Duckham & Co ,Limited/AA 13/06/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf","gb_00162738 Alexander Duckham & Co ,Limited/AA 13_06_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf","https://data.openoil.net/documents/gb_00162738 Alexander Duckham & Co ,Limited/AA 13_06_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf",200
Alexis Wind Farm LLC,100,Orion Energy L L C,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Allgreen Pty Ltd,100,Centrel Pty Ltd,100,Australia,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Alyeska Pipeline Service Company,46.93,BP Pipelines (Alaska) Inc,46.93,United States,05.05.14 00:00,us_de/0759222,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
AM/PM International Inc,100,BP West Coast Products LLC,100,United States,05.05.14 00:00,us_de/2102402,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Ambarli Depolama Hizmetleri Limited Sirketi,50,BP Petrollen Anonim Sirketi,50,Turkey,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
American Oil Company,100,BP Products North America Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Ammenn GmbH,50,BP Europa SE,50,Germany,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco (Fiddich) Limited,100,"Amoco (U K) Exploration Company, LLC",100,United Kingdom,05.05.14 00:00,gb/01005360,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,, 25 704 235, 11 892 340, 199 052 834, 151 793 442,,,,/Corporate Mapping/BP/BP Project/Finance Sheets/01005360 Amoco (Fiddich) Limited.csv,01005360 Amoco (Fiddich) Limited.csv,https://data.openoil.net/documents/financials/01005360 Amoco (Fiddich) Limited.csv,200,,,,/UK Companies House filings/gb/01005360 Amoco (Fiddich) Limited/AA 17/07/2013 FULL ACCOUNTS MADE UP TO 31/12/12.pdf,gb_01005360 Amoco (Fiddich) Limited/AA 17_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,https://data.openoil.net/documents/gb_01005360 Amoco (Fiddich) Limited/AA 17_07_2013 FULL ACCOUNTS MADE UP TO 31_12_12.pdf,200
"Amoco (U K) Exploration Company, LLC",100,Britoil Limited,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,>1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Angola B V,62.18,BPNE International B V,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"Amoco Angola Offshore, Inc.",100,BP America Production Company,100,United States,05.05.14 00:00,us_de/2778425,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Austria Petroleum Company,100,BP America Production Company,100,United States,05.05.14 00:00,us_de/2190442,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Bolivia Oil and Gas Aktiebolag,100,Pan American Energy LLC,60,Sweden,05.05.14 00:00,se/556533-0221,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Bolivia Petroleum Company,100,BP America Production Company,100,United States,05.05.14 00:00,us_de/0794403,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Bolivia Services Company Inc,100,BP America Production Company,100,"Virgin Islands, British",05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
"Amoco Brazil, Inc",100,BP America Production Company,100,United States,05.05.14 00:00,us_de/2881651,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Canada International Holdings B V,100,BP Canada Investments Inc,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Capline Pipeline Company,100,Amoco Pipeline Holding Company,100,United States,05.05.14 00:00,us_de/2295405,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,1,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Caspian Sea Petroleum Company (In Liquidation),100,BP America Production Company,100,"Virgin Islands, British",05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Chemical (Europe) S A,100,BP Company North America Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Chemical Holding B V,45.94,BP Amoco Chemical Malaysia Holding Company,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Chemical Malaysia Holding I B V,100,Amoco Chemical Holding B V,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Chemical U K Limited (in liquidation),100,Amoco Chemical (Europe) S A,100,United Kingdom,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Chemicals (FSC) B V,100,BP Amoco Chemical Holding Company,100,Netherlands,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco CNG (Trinidad) Limited,100,BP Caribbean Company,100,Trinidad and Tobago,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Cypress Pipeline Company,100,Amoco Pipeline Holding Company,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Destin Pipeline Company,100,Amoco Pipeline Holding Company,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Endicott Pipeline Company,100,Amoco Pipeline Holding Company,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
Amoco Environmental Services Company,100,BP Products North America Inc,100,United States,05.05.14 00:00,,https://docs.google.com/file/d/0B5ORBm2amqZSY2NvOFQwbTZvemM,High confidence,06.07.13 00:00,,0,avner.ofrath@openoil.net,,Directly Controlled,Some time before the report,,,,,,,,,,,,,,,,,,,,,,
